date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:07:56	95084/95084	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Apr%202022%2012:07:56%20GMT	https://www.growoyun.com/games	C:/Users/doruk/Desktop/growbank/www.growoyun.com/games.html	(from https://www.growoyun.com/)
15:07:57	143852/143852	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Apr%202022%2012:07:57%20GMT	https://www.growoyun.com/ozel-firsatlar	C:/Users/doruk/Desktop/growbank/www.growoyun.com/ozel-firsatlar.html	(from https://www.growoyun.com/)
15:07:57	102020/102020	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Apr%202022%2012:07:57%20GMT	https://www.growoyun.com/ilanlar	C:/Users/doruk/Desktop/growbank/www.growoyun.com/ilanlar.html	(from https://www.growoyun.com/)
15:07:58	113606/113606	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Apr%202022%2012:07:58%20GMT	https://www.growoyun.com/steam	C:/Users/doruk/Desktop/growbank/www.growoyun.com/steam.html	(from https://www.growoyun.com/)
15:07:58	118659/118659	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Apr%202022%2012:07:58%20GMT	https://www.growoyun.com/growtopia	C:/Users/doruk/Desktop/growbank/www.growoyun.com/growtopia.html	(from https://www.growoyun.com/)
15:07:59	154611/154611	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Apr%202022%2012:07:59%20GMT	https://www.growoyun.com/razer-gold	C:/Users/doruk/Desktop/growbank/www.growoyun.com/razer-gold.html	(from https://www.growoyun.com/)
15:08:01	164180/164180	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Apr%202022%2012:08:00%20GMT	https://www.growoyun.com/pubg-mobile	C:/Users/doruk/Desktop/growbank/www.growoyun.com/pubg-mobile.html	(from https://www.growoyun.com/)
15:08:02	169299/169299	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Apr%202022%2012:08:01%20GMT	https://www.growoyun.com/valorant	C:/Users/doruk/Desktop/growbank/www.growoyun.com/valorant.html	(from https://www.growoyun.com/)
15:08:03	168680/168680	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Apr%202022%2012:08:03%20GMT	https://www.growoyun.com/league-of-legends	C:/Users/doruk/Desktop/growbank/www.growoyun.com/league-of-legends.html	(from https://www.growoyun.com/)
15:08:04	167235/167235	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Apr%202022%2012:08:04%20GMT	https://www.growoyun.com/mobile-legends	C:/Users/doruk/Desktop/growbank/www.growoyun.com/mobile-legends.html	(from https://www.growoyun.com/)
15:08:05	173178/173178	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Apr%202022%2012:08:05%20GMT	https://www.growoyun.com/zulaoyun	C:/Users/doruk/Desktop/growbank/www.growoyun.com/zulaoyun.html	(from https://www.growoyun.com/)
15:08:06	157324/157324	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Apr%202022%2012:08:05%20GMT	https://www.growoyun.com/metin-2-2	C:/Users/doruk/Desktop/growbank/www.growoyun.com/metin-2-2.html	(from https://www.growoyun.com/)
15:08:07	157433/157433	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Apr%202022%2012:08:06%20GMT	https://www.growoyun.com/knight-online	C:/Users/doruk/Desktop/growbank/www.growoyun.com/knight-online.html	(from https://www.growoyun.com/)
15:08:07	137428/137428	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Apr%202022%2012:08:07%20GMT	https://www.growoyun.com/abonelik-hesaplar	C:/Users/doruk/Desktop/growbank/www.growoyun.com/abonelik-hesaplar.html	(from https://www.growoyun.com/)
15:08:08	132959/132959	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Apr%202022%2012:08:08%20GMT	https://www.growoyun.com/google-play	C:/Users/doruk/Desktop/growbank/www.growoyun.com/google-play.html	(from https://www.growoyun.com/)
15:08:09	154307/154307	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Apr%202022%2012:08:09%20GMT	https://www.growoyun.com/legends-of-runeterra	C:/Users/doruk/Desktop/growbank/www.growoyun.com/legends-of-runeterra.html	(from https://www.growoyun.com/)
15:08:10	146706/146706	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Apr%202022%2012:08:10%20GMT	https://www.growoyun.com/point-blank	C:/Users/doruk/Desktop/growbank/www.growoyun.com/point-blank.html	(from https://www.growoyun.com/)
